NIWA SolarView Calculations
22 Jul 2020

Description,Custom location
Latitude,-41.33
Longitude,174.71
Panel Tilt,34
Bearing,0
Ground Albedo,0.10
Climate Station,3385,Wellington, Kelburn            
Years of Data,24

Month & hour,Elevation,Azimuth,Hourly W/m2,Cumulative kWh/m2,Cloudless W/m2
Oct 11:00,58.2,16.8,629,2.30,1081
Oct 12:00,58.7,-11.6,644,2.94,1089
Oct 13:00,54.1,-37.0,603,3.55,1012
Oct 14:00,45.9,-56.2,512,4.06,858
Oct 15:00,35.8,-70.5,374,4.43,645
Oct 16:00,24.9,-82.0,227,4.66,399
Oct 17:00,13.6,-92.2,91,4.75,157
Oct 18:00,2.5,-101.9,11,4.76,17
Oct 19:00,-8.3,-112.0,0,4.76,0
Oct 20:00,-18.3,-123.2,0,4.76,0
Oct 21:00,-26.9,-136.2,0,4.76,0
Oct 22:00,-33.6,-151.4,0,4.76,0
Oct 23:00,-37.4,-168.9,0,4.76,0
Nov  0:00,-28.8,173.7,0,0.00,0
Nov  1:00,-26.0,158.1,0,0.00,0
Nov  2:00,-20.6,143.9,0,0.00,0
Nov  3:00,-13.0,131.5,0,0.00,0
Nov  4:00,-3.8,120.6,0,0.00,0
Nov  5:00,6.3,110.8,22,0.02,30
Nov  6:00,17.1,101.5,103,0.12,143
Nov  7:00,28.3,92.1,247,0.37,376
Nov  8:00,39.6,81.8,398,0.77,616
Nov  9:00,50.5,69.0,529,1.30,830
Nov 10:00,60.3,50.9,634,1.93,990
Nov 11:00,67.1,22.7,699,2.63,1079
Nov 12:00,67.9,-14.8,697,3.33,1089
Nov 13:00,62.2,-45.8,662,3.99,1016
Nov 14:00,52.8,-65.7,582,4.57,870
Nov 15:00,42.1,-79.3,449,5.02,667
Nov 16:00,30.9,-90.0,287,5.31,430
Nov 17:00,19.7,-99.5,135,5.44,192
Nov 18:00,8.8,-108.8,36,5.48,34
Nov 19:00,-1.6,-118.4,2,5.48,0
Nov 20:00,-10.9,-129.0,0,5.48,0
Nov 21:00,-18.9,-141.1,0,5.48,0
Nov 22:00,-24.9,-154.9,0,5.48,0
Nov 23:00,-28.2,-170.2,0,5.48,0
Dec  0:00,-25.2,177.1,0,0.00,0
Dec  1:00,-23.2,162.1,0,0.00,0
Dec  2:00,-18.5,148.3,0,0.00,0
Dec  3:00,-11.5,136.0,0,0.00,0
Dec  4:00,-3.0,125.1,0,0.00,0
Dec  5:00,6.7,115.4,24,0.02,31
Dec  6:00,17.3,106.3,94,0.12,112
Dec  7:00,28.3,97.4,229,0.35,336
Dec  8:00,39.5,87.8,378,0.72,572
Dec  9:00,50.7,76.3,518,1.24,788
Dec 10:00,61.1,60.2,636,1.88,956
Dec 11:00,69.5,33.4,693,2.57,1058
Dec 12:00,72.0,-8.4,712,3.28,1083
Dec 13:00,66.8,-45.4,705,3.99,1028
Dec 14:00,57.3,-67.1,619,4.61,899
Dec 15:00,46.5,-81.0,498,5.11,710
Dec 16:00,35.3,-91.6,341,5.45,484
Dec 17:00,24.1,-100.8,183,5.63,247
Dec 18:00,13.2,-109.7,58,5.69,41
Dec 19:00,3.0,-119.0,10,5.70,20
Dec 20:00,-6.4,-129.1,0,5.70,0
Dec 21:00,-14.4,-140.5,0,5.70,0
Dec 22:00,-20.5,-153.4,0,5.70,0
Dec 23:00,-24.3,-167.7,0,5.70,0
